proposal_num,hand_classification
0001,stellar physics
0002,galaxies and the igm
0003,stellar populations and the ism
0004,stellar physics
0005,stellar populations and the ism
0006,stellar physics
0007,large scale structure of the universe
0008,stellar physics
0009,galaxies and the igm
0010,large scale structure of the universe
0011,stellar physics
0012,galaxies and the igm
0013,stellar populations and the ism
0014,stellar populations and the ism
0015,large scale structure of the universe
0016,galaxies and the igm
0017,supermassive black holes and active galaxies
0018,null
0019,galaxies and the igm
0020,galaxies and the igm
0021,stellar physics
0022,stellar populations and the ism
0023,galaxies and the igm
0024,null
0025,galaxies and the igm
0026,stellar populations and the ism
0027,large scale structure of the universe
0028,null
0029,stellar physics
0030,supermassive black holes and active galaxies
0031,stellar physics
0032,stellar populations and the ism
0033,large scale structure of the universe
0034,supermassive black holes and active galaxies
0035,stellar populations and the ism
0036,stellar populations and the ism
0037,stellar populations and the ism
0038,planets and planet formation
0039,galaxies and the igm
0040,galaxies and the igm
0041,galaxies and the igm
0042,galaxies and the igm
0043,large scale structure of the universe
0044,planets and planet formation
0045,galaxies and the igm
0046,galaxies and the igm
0047,galaxies and the igm
0048,supermassive black holes and active galaxies
0049,galaxies and the igm
0050,stellar physics
0051,galaxies and the igm
0052,supermassive black holes and active galaxies
0053,supermassive black holes and active galaxies
0054,supermassive black holes and active galaxies
0055,stellar populations and the ism
0056,large scale structure of the universe
0057,planets and planet formation
0058,stellar physics
0059,galaxies and the igm
0060,galaxies and the igm
0061,null
0062,stellar physics
0063,stellar physics
0064,galaxies and the igm
0065,stellar physics
0066,stellar populations and the ism
0067,galaxies and the igm
0068,galaxies and the igm
0069,planets and planet formation
0070,stellar physics
0071,planets and planet formation
0072,large scale structure of the universe
0073,stellar populations and the ism
0074,stellar physics
0075,stellar physics
0076,supermassive black holes and active galaxies
0077,galaxies and the igm
0078,stellar physics
0079,galaxies and the igm
0080,galaxies and the igm
0081,stellar physics
0082,planets and planet formation
0083,galaxies and the igm
0084,stellar physics
0085,galaxies and the igm
0086,null
0087,galaxies and the igm
0088,null
0089,stellar populations and the ism
0090,galaxies and the igm
0091,planets and planet formation
0092,galaxies and the igm
0093,supermassive black holes and active galaxies
0094,large scale structure of the universe
0095,stellar populations and the ism
0096,stellar populations and the ism
0097,stellar populations and the ism
0098,planets and planet formation
